Raz�o Social;Fundo;Segmento;C�digo;
FDO DE INVEST IMOB GUARDIAN MULTIESTRAT�GIA I;FII GUARD MU;;GAME;
FDO DE INVEST IMOB TELLUS RIO BRAVO RENDA LOGISTIC;FII SDI LOG;;TRBL;
FDO INV IMOB - FII ANCAR IC;FII ANCAR IC;;ANCR;
FDO INV IMOB - FII ANHANGUERA EDUCACIONAL;FII ANH EDUC;;FAED;
FDO INV IMOB - FII BM BRASCAN LAJES CORPORATIVAS;FII BMBRC LC;;BMLC;
FDO INV IMOB - FII BRLPROP;FII BRLPROP;;BPRP;
FDO INV IMOB - FII BTG PACTUAL CORP. OFFICE FUND;FII BC FUND;;BRCR;
FDO INV IMOB - FII CAMPUS FARIA LIMA;FII CAMPUSFL;;FCFL;
FDO INV IMOB - FII CENESP;FII CENESP;;CNES;
FDO INV IMOB - FII CEO CYRELA COMMERC. PROPERTIES;FII CEO CCP;;CEOC;
FDO INV IMOB - FII EDIF�CIO ALMIRANTE BARROSO;FII ALMIRANT;;FAMB;
FDO INV IMOB - FII EDIF�CIO GALERIA;FII GALERIA;;EDGA;
FDO INV IMOB - FII ELDORADO;FII ELDORADO;;ELDO;
FDO INV IMOB - FII HOSPITAL DA CRIAN�A;FII CRIANCA;;HCRI;
FDO INV IMOB - FII HOSPITAL NOSSA SRA DE LOURDES;FII LOURDES;;NSLU;
FDO INV IMOB - FII HOTEL MAXINVEST;FII HOTEL MX;;HTMX;
FDO INV IMOB - FII MAX RETAIL;FII MAX RET;;MAXR;
FDO INV IMOB - FII NOVO HORIZONTE;FII NOVOHORI;;NVHO;
FDO INV IMOB - FII PARQUE D. PEDRO SHOPPING CENTER;FII D PEDRO;;PQDP;
FDO INV IMOB - FII PATEO BANDEIRANTES;FII PTO BAND;;PATB;
FDO INV IMOB - FII RBR DESENVOLVIMENTO;FII RBR DES;;RBRM;
FDO INV IMOB - FII RBR RENDIMENTO HIGH GRADE;FII RBRHGRAD;;RBRR;
FDO INV IMOB - FII REC RECEBIVEIS IMOBILIARIOS;FII REC RECE;;RECR;
FDO INV IMOB - FII REC RENDA IMOBILIARIA;FII REC REND;;RECT;
FDO INV IMOB - FII SHOPPING PARQUE D. PEDRO;FII SHOP PDP;;SHDP;
FDO INV IMOB - FII SIA CORPORATE;FII SIA CORP;;SAIC;
FDO INV IMOB - FII TORRE ALMIRANTE;FII TORRE AL;;ALMI;
FDO INV IMOB - FII TORRE NORTE;FII TORRE NO;;TRNT;
FDO INV IMOB - OURINVEST FUNDO DE FUNDOS;FII OURI FOF;;OUFF;
FDO INV IMOB - OURINVEST RE I;FII WTC SP;;WTSP;
FDO INV IMOB - VBI LOG�STICO;FII VBI LOG;;LVBI;
FDO INV IMOB BR HOTEIS - FII;FII BRHOTEIS;;BRHT;
FDO INV IMOB BRASIL PLURAL ABSOLUTO FDO DE FUNDOS;FII ABSOLUTO;;BPFF;
FDO INV IMOB BRASIL VAREJO - FII;FII B VAREJO;;BVAR;
FDO INV IMOB BTG PACTUAL SHOPPINGS;FII BTG SHOP;;BPML;
FDO INV IMOB BTG PACTUAL TERRAS AGR�COLAS;FII BTG TAGR;;BTRA;
FDO INV IMOB CAIXA CARTEIRA IMOBILI�RIA;FII CAIXA CI;;CXCI;
FDO INV IMOB CAIXA CEDAE;FII CX CEDAE;;CXCE;
FDO INV IMOB CAIXA SEQ LOG�STICA RENDA;FII CX TRX;;CXTL;
FDO INV IMOB CENTRO TEXTIL INTERNACIONAL;FII C TEXTIL;;CTXT;
FDO INV IMOB CONTINENTAL SQUARE FARIA LIMA;FII S F LIMA;;FLMA;
FDO INV IMOB DESENV ESCRIT�RIOS BOUTIQUE RESP LIM;FII EGDB;;EGDB;
FDO INV IMOB EDIF�CIO OURINVEST;FII OURINVES;;EDFO;
FDO INV IMOB EUROPAR;FII EUROPAR;;EURO;
FDO INV IMOB GRAND PLAZA SHOPPING;FII ABC IMOB;;ABCP;
FDO INV IMOB GREEN TOWERS;FII G TOWERS;;GTWR;
FDO INV IMOB HOSPITAL UNIMED CAMPINA GRANDE;FII UNIMED C;;HUCG;
FDO INV IMOB HOSPITAL UNIMED SUL CAPIXABA;FII H UNIMED;;HUSC;
FDO INV IMOB INDUSTRIAL DO BRASIL;FII INDL BR;;FIIB;
FDO INV IMOB INFRA REAL ESTATE - FII;FII INFRA RE;;FINF;
FDO INV IMOB MEMORIAL OFFICE;FII MEMORIAL;;FMOF;
FDO INV IMOB OURINVEST LOG�STICA;FII OURILOG;;OULG;
FDO INV IMOB PANAMBY;FII PANAMBY;;PABY;
FDO INV IMOB PEDRA NEGRA RENDA IMOB;FII P NEGRA;;FPNG;
FDO INV IMOB POLO ESTOQUE II - FII;FII POLO II;;ESTQ;
FDO INV IMOB POLO SHOPPING INDAIATUBA;FII POLO SHO;;VPSI;
FDO INV IMOB PROJETO �GUA BRANCA;FII A BRANCA;;FPAB;
FDO INV IMOB RBR CREDITO IMOB ESTRUTURADO;FII RBR PCRI;;RBRY;
FDO INV IMOB RBR PROPERTIES - FII;FII RBR PROP;;RBRP;
FDO INV IMOB RIO BRAVO RENDA CORPORATIVA;FII RIOB RC;;RCRB;
FDO INV IMOB RIO BRAVO RENDA EDUCACIONAL - FII;FII RIOB ED;;RBED;
FDO INV IMOB RIO BRAVO RENDA VAREJO - FII;FII RIOB VA;;RBVA;
FDO INV IMOB RIO NEGRO - FII;FII RIONEGRO;;RNGO;
FDO INV IMOB SC 401;FII SC 401;;FISC;
FDO INV IMOB SCP;FII SCP;;SCPF;
FDO INV IMOB SHOPPING P�TIO HIGIEN�POLIS;FII HIGIENOP;;SHPH;
FDO INV IMOB SMART REAL ESTATE - FII RESP LIMITADA;FII SMRE;;SMRE;
FDO INV IMOB TG ATIVO REAL;FII TG ATIVO;;TGAR;
FDO INV IMOB VBI RENDIMENTOS IMOB I FII;FII BARIGUI;;BARI;
FDO INV IMOB VEREDA - FII;FII VEREDA;;VERE;
FDO INV IMOB VIA PARQUE SHOPPING - FII;FII V PARQUE;;FVPQ;
FDO INV IMOB VIDA NOVA - FII;FII VIDANOVA;;FIVN;
FDO INV IMOB VOTORANTIM LOGISTICA;FII VOT LOG;;VTLT;
FDO INV IMOB VOTORANTIM SHOPPING;FII VOT SHOP;;VSHO;
FDO INV IMOBILI�RIO DE UNIDADES AUT�NOMAS;FII UNIDADES;;IDFI;
FDO INV. IMOB. PLURAL RECEBIVEIS;FII PLURAL R;;PLCR;
FDO INV. IMOB. PLUS;FII PLUS;;VTPL;
FDO INV. IMOB. REC LOGISTICA;FII REC LOG;;RELG;
FDO INV. IMOB. VBI CRI;FII VBI CRI;;CVBI;
FDO INV. MAUA CAPITAL RECEBIVEIS IMOB. - FII;FII MAUA;;MCCI;
FDO. INV. IMOB. A - TOWN;FII A TOWN;;ATWN;
FDO. INV. IMOB. BTG PACTUAL AGRO LOG�STICA;FII BTG AGRO;;BTAL;
FDO. INV. IMOB. CAIXA IM�VEIS CORPORATIVOS;FII CEF CORP;;CXCO;
FDO. INV. IMOB. HOUSI;FII HOUSI;;HOSI;
FDO. INV. IMOB. MOGNO HOTEIS;FII MOGNO HT;;MGHT;
FDO. INV. IMOB. REC FUNDO DE FUNDOS;FII REC FOF;;RECX;
FDO. INV. IMOB. VBI PRIME PROPERTIES;FII VBI PRI;;PVBI;
FDO. INVEST. IMOB. DEVANT FOF IMOBILI�RIOS;FII DEVA FOF;;DVFF;
FDO. INVEST. IMOB. RB CAPITAL I FUNDO DE FUNDOS;FII RB CFOF;;RFOF;
FDO. INVEST. IMOB. VOTORANTIM PATRIMONIAL V;FII VOTP V;;VTPA;
FDO. INVEST. IMOB. VOTORANTIM PATRIMONIAL XII;FII VOTP XII;;VTXI;
FDO.INVEST. IMOB. MULTI RENDA URBANA;FII MULT REN;;VVMR;
FIGTREE RENDA EDUCACIONAL FDO INV IMOB;FII FTRE;;FTRE;
FII - FII BTG PACTUAL FUNDO DE FUNDOS RESPONS LTDA;FII BC FFII;;BCFF;
FII - FII NCH BRASIL RECEB�VEIS IMOBILI�RIOS;FII NCH BR;;NCHB;
FII BTG PACTUAL CR�DITO IMOBILI�RIO;FII BTG CRI;;BTCI;
FII HIRE RESIDENCIAL I - FDO DE INV IMOB;FII HIRE RES;;HRES;
FII INTERMEDI�RIO NAVI TOT;INTERMED NT;;N4V1;
FII IRIDIUM RECEB�VEIS IMOBILI�RIOS;FII IRIDIUM;;IRDM;
FII VERA CRUZ CRI RESID HIGH GRADE - RESP LIMIT;FII VCHG;;VCHG;
 FLORIANO FUNDO DE INVESTIMENTO IMOBILI�RIO;FII FLNR;;FLNR;
FOF JHSF CAPITAL INSTITUCIONAL - FII;FII JCIN;;JCIN;
FRAM CAPITAL HELMER MULTI RENDA PREF FDO INV IMOB;FII HLMB;;HLMB;
FRAM CAPITAL SBCLOG FDO. INV. IMOB.;FII SBCLOG;;SBCL;
FRONTEIRA MULTI FUNDO DE INVESTIMENTO IMOBILI�RIO;FII FRONT;;FRHY;
FUND. DE INVEST. IMOBILI�RIO GUARDIAN REAL ESTATE;FII GUARDIAN;;GARE;
FUND. INVEST. IMOB. SUCCESPAR VAREJO;FII S VAREJO;;SPVJ;
FUNDO DE FDO INV IMOB KINEA FII;FII KINEAFOF;;KFOF;
FUNDO DE INV IMOB RBR CR�D PULVERIZADO RESP LTDA;FII PULV;;PULV;
FUNDO DE INV IMOB ROOFTOP III RESP LIMIT;FII HOMS;;HOMS;
FUNDO DE INVEST IMOB OURINVEST RENDA ESTRUTURADA;FII OU RENDA;;OURE;
FUNDO DE INVEST IMOBILIARIO SUNO ENERGIAS LIMPAS;FII SUNO EL;;SNEL;
FUNDO DE INVESTIMENTO IMOBILI�RIO - BLUE RECEB�VEI;FII BLUE REC;;BLUR;
FUNDO DE INVESTIMENTO IMOBILI�RIO - DEVELOPMENT V1;FII DEV ONE;;LKDV;
FUNDO DE INVESTIMENTO IMOBILI�RIO - FII RBR DESENV;FII RBR III;;RBRI;
FUNDO DE INVESTIMENTO IMOBILI�RIO - SPX SYN MULT;FII SPX SYN;;SPXS;
FUNDO DE INVESTIMENTO IMOBILI�RIO APEX MALLS - FII;FII APEX MS;;APXM;
FUNDO DE INVESTIMENTO IMOBILI�RIO BRL PROP II;FII BRLPROII;;BRLA;
FUNDO DE INVESTIMENTO IMOBILI�RIO CAIXA AG�NCIAS;FII CAIXA AG;;CXAG;
FUNDO DE INVESTIMENTO IMOBILI�RIO HBC RENDA URBANA;FII HBC REN;;HBCR;
FUNDO DE INVESTIMENTO IMOBILI�RIO MINT EDUCACIONAL;FII MINT EDU;;MINT;
FUNDO DE INVESTIMENTO IMOBILIARIO PATRIMONIAL IV;FII PATRI IV;;OPTM;
FUNDO DE INVESTIMENTO IMOBILI�RIO RIZA TERRAX;FII RIZA TX;;RZTR;
FUNDO DE INVESTIMENTO IMOBILI�RIO ROOFTOP I;FII ROOFTOPI;;ROOF;
G5 CIDADE NOVA FDO. INVEST. IMOB.;FII TOUR V;;TCIN;
GALAPAGOS DESENVOLVIMENTO LOG�STICO FII RESP LIM;FII GCDL;;GCDL;
GALAPAGOS RECEB�VEIS IMOBILI�RIOS - FDO. INV. IMOB;FII GLPG CRI;;GCRI;
GALAPAGOS SPECIAL OPORTUNITIES FII;FII GALAP SP;;GCOI;
GAZIT MALLS FUNDO DE INVESTIMENTO IMOBILI�RIO;FII GAZIT;;GZIT;
GENERAL SHOP E OUTLETS DO BRASIL FDO INV IMOB - FI;FII GENERAL;;GSFI;
GENERAL SHOPPING ATIVO E RENDA FUNDO DE INV, IMOB.;FII GEN SHOP;;FIGS;
GENESIS MULTIESTRAT�GIA FDO INV. IMOB.;FII VX XVI;;VXXV;
GENIAL LOG�STICA FUNDO DE INVESTIMENTO IMOBILI�RIO;FII PLURAL L;;GLOG;
GENIAL MALLS FUNDO DE INVESTIMENTO IMOBILI�RIO;FII MALLS BP;;MALL;
GGR COVEPI RENDA FDO INV IMOB RESPONSAB LTDA;FII GGRCOVEP;;GGRC;
GRUPO RCFA FDO INV IMOB;FII GP RCFA;;RCFA;
HABITAT RECEB�VEIS PULVERIZADOS - FII;FII HABIT II;;HABT;
HAZ FDO INV IMOB - FII;FII HAZ;;ATCR;
HBC II FUNDO DE INVESTIMENTO IMOBILI�RIO RESPONSAB;FII VBI CON;;EVBI;
HECTARE CE - FDO INV IMOB;FII HECTARE;;HCTR;
HECTARE DESENV. STUDENT HOUSING - FDO. INV. IMOB.;FII HECT DES;;HCST;
HECTARE RECEB�VEIS HIGH GRADE FDO. INV. IMOB.;FII HECT CRI;;HCHG;
HEDGE AAA FDO. INV. IMOB.;FII HEDGEAAA;;HAAA;
HEDGE ATRIUM SHOPPING SANTO ANDRE FDO INV IMOB;FII HATRIUM;;ATSA;
HEDGE BRASIL LOG�STICO IND FUND INV IMOB RESP LIM;FII HGBL;;HGBL;
HEDGE BRASIL SHOPPING FDO INV IMOB;FII HEDGEBS;;HGBS;
HEDGE DESENVOLVIMENTO LOG�STICO FDO INV IMOB;FII HEDGE DV;;HDEL;
HEDGE FLORIPA SHOPPING FUNDO INV IMOBI;FII FLORIPA;;FLRP;
HEDGE LOG�STICA FDO. INV. IMOB.;FII HEDGELOG;;HLOG;
HEDGE OFFICE INCOME FUNDO DE INVESTIMENTO IMOB.;FII HOFFICEI;;HOFC;
HEDGE PALADIN DESIGN OFFICES FDO INV IMOB;FII HEDGE OF;;HDOF;
HEDGE REALTY DEVELOPMENT FDO INV IMOB;FII HREALTY;;HRDF;
HEDGE RECEBIVEIS IMOB. FUNDO DE INVST. IMOB.;FII HEDGEREC;;HREC;
HEDGE SEED FUNDO DE INVESTIMENTO IMOBILI�RIO;FII HEDGE SD;;SEED;
HEDGE SHOPPING PARQUE DOM PEDRO FDO. DE INV. IMOB.;FII HEDGEPDP;;HPDP;
HEDGE TOP FOFII 3 FDO INV IMOB;FII HTOPFOF3;;HFOF;
HEDGE YEES HABITA��ES ECON FDO DE INV IMOB RESP L;FII YEES;;YEES;
HGI CR�DITOS IMOBILI�RIOS FDO. INV. IMOB.;FII HGI CRI;;HGIC;
HIRE LOG I FDO DE INV IMOB;FII HIRE LOG;;HILG;
HSI ATIVOS FINANCEIROS FUNDO DE INVESTIMENTO IMOBI;FII HSI CRI;;HSAF;
HSI LOG�STICA FUNDO DE INVESTIMENTO IMOBILI�RIO;FII HSI LOG;;HSLG;
HSI MALL FDO INV IMOB;FII HSI MALL;;HSML;
HSI RENDA IMOB FDO INV IMOB;FII HSIRENDA;;HSRE;
HUSI FDO INV. IMOB.;FII HUSI;;HUSI;
 ICATU VANGUARDA CR�DITO IMOB FDO DE INV IMOB LTDA;FII IVCI;;IVCI;
ICATU VANGUARDA GRU LOG FDO DE INV IMOB - RESP LIM;FII GRUL;;GRUL;
�CONE - FUNDO DE INVEST IMOB RES LIMITADA;FII ICNE;;ICNE;
INTER DESENVOLVIMENTO FDO DE INV IMOB;FII INDE;;INDE;
INTER TEVA INDICE DE PAPEL FUNDO DE INVESTIMENTO;FII INTER IP;;ITIP;
 INTER TEVA INDICE DE TIJOLO FUNDO DE INVESTIMENTO;FII INTER IT;;ITIT;
INTER T�TULOS IMOB. FDO INV. IMOB.;FII INTER;;BICR;
INVISTA BRAZILIAN BUSINESS PARK FDO DE INV IMOB;FII IBBP;;IBBP;
INVISTA SCJ - FII;FII ISCJ;;ISCJ;
IRIDIUM FUNDO DE INVESTIMENTO IMOBILI�RIO;FII IRIM;;IRIM;
ITA� CR�DITO IMOB IPCA FDO DE INV IMOB;FII CI IPCA;;ICRI;
ITA� TEMPUS FUNDO DE INVESTIMENTO IMOBILI�RIO;FII ITAU TEM;;TMPS;
ITA� TOTAL RETURN FDO DE INV IMOB;FII ITRI;;ITRI;
JACARAND� 02 FUNDO DE INVESTIMENTO IMOBILI�RIO FII;FII JCDB 02;;JCDB;
JACARAND� I FUNDO DE INVESTIMENTO IMOBILI�RIO -FII;FII JCDA I;;JCDA;
 JASC RENDA VAREJO ESSENCIAL FDO DE INV IMOB - FII;FII JASC REN;;JASC;
JBFO FOF FDO INV. IMOB.;FII JBFO FOF;;JBFO;
JFDCAM FUNDO DE INVESTIMENTO IMOBILI�RIO FII;FII JFDCAM;;VJFD;
JFL LIVING FDO. INV. IMOB.;FII JFL LIV;;JFLL;
JGP DESENVOLVIMENTO I FDO INV IMOB RESP LIMIT;FII RDLS;;RDLS;
JHSF CAPITAL CIDADE JARDIM - FDO DE INV IMOB;FII JHSF CJ;;JCCJ;
JPP CAPITAL FDO INV IMOB - FII;FII JPP CAPI;;JPPC;
JPP CAPITAL RECEBIVEIS IMOB. FDO. INVEST. IMOB.;FII JPPA CRI;;JPPA;
JS ATIVOS FINANCEIROS FDO DE INV IMOBILI�RIO;FII JS A FIN;;JSAF;
JS REAL ESTATE MULTIGEST�O - FII;FII JS REAL;;JSRE;
JS RECEB�VEIS IMOBILI�RIOS FDO DE INV IMOB;FII JSCR;;JSCR;
JT PREV FDO INV IMOB DESENVOLVIMENTO HABITACIONAL;FII JT PREV;;JTPR;
KILIMA FIC FDO. IMOB. SUNO 30;FII KILIMA;;KISU;
KILIMA VOLKANO RECEB�VEIS IMOB FDO DE INV IMOB;FII KIVO;;KIVO;
KINEA AQUISI��ES RESIDENCIAIS FII RESP LIM;FII KRES;;KRES;
KINEA CREDITAS FDO DE INV IMOBILI�RIO - FII;FII KINEA CR;;KCRE;
KINEA DESENVOLVIMENTO LOG�STICO FDO DE INV IMOB;FII KINEA DL;;KLOG;
KINEA F�NIX FII - RESP LIM;FII KFEN;;KFEN;
KINEA HEDGE FUND FDO DE INV IMOB;FII KINEA HF;;KNHF;
KINEA HIGH YIELD CRI FDO INV IMOB - FII;FII KINEA HY;;KNHY;
KINEA II REAL ESTATE EQUITY FDO INV IMOB;FII KII REAL;;KNRE;
KINEA �NDICES DE PRE�OS FDO INV IMOB - FII;FII KINEA IP;;KNIP;
KINEA OPOR IMOB I FUNDO DE INVEST IMB LTDA;FII KOPI;;KOPI;
KINEA OPORTUNIDADES REAL ESTATE FDO DE INV IMOB;FII KORE;;KORE;
KINEA PREMIUM PROPERTIES FDO INV IMOB;FII KINEA PR;;KNPR;
KINEA RENDA IMOBILI�RIA FDO INV IMOB - FII;FII KINEA;;KNRI;
KINEA RENDIMENTOS IMOBILI�RIOS FDO INV IMOB - FII;FII KINEA RI;;KNCR;
KINEA SECURITIES FDO. DE INV. IMOB. - FII;FII KINEA SC;;KNSC;
KINEA UNIQUE HY CDI FUNDO DE INVESTIMENTO IMOB;FII KINEA UN;;KNUQ;
